group	settlement_option	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	acting_army_effect_bundle	acting_army_effect_bundle_turns	id	tooltip	icon	base_loot	building_loot_mod	resource_transaction	uses_small_ui_template	sort_order_override	captive_option_outcome	settlement_type	disable_gaining_action_points_for_a_turn	required_resources	resource_loot_multiplier	required_tag	required_diplomatic_stance
#culture_settlement_occupation_options_tables;2;db/culture_settlement_occupation_options_tables/zzz_cbfm_unique_raze_icons_data__																						
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy_forest_border	occupation_decision_raze_without_occupy	wh2_dlc16_pooled_resource_world_roots_health_razed_dummy	1		0		0	1598549406	Clear Heathland||All buildings are destroyed and the settlement is razed. This region is part of the ancient Heathland of a nearby Magical Forest. While razed, it will contribute to the Forest's health.	wh_dlc05_wef_wood_elves_raze	500.0	0.6		false	-1	kill		true		0.0		
wh2_main_sc_wef_wood_elves_occupation_decision_raze_without_occupy	occupation_decision_raze_without_occupy		0		0		0	441	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh_dlc05_wef_wood_elves_raze	100.0	2.0		false	-1	kill		true		0.0		
wh_main_occupation_decision_bretonnia_raze	occupation_decision_raze_without_occupy		0		0		0	367	Raze||All buildings are destroyed and the settlement is torched.\n\nAlthough they are our enemies, we belong to the same race. To destroy their settlements would be villainy indeed!	wh_main_brt_bretonnia_raze	100.0	0.2	wh3_main_chivalry_raze_human	false	-1	kill		true		0.0		
wh_main_occupation_decision_bretonnia_raze_enemy	occupation_decision_raze_without_occupy		0		0		0	404	Raze||All buildings are destroyed and the settlement is torched. \n\nPurging the land of evil is a great thing, both for Bretonnia and indeed the wider world.	wh_main_brt_bretonnia_raze	100.0	0.2	wh3_main_chivalry_raze_enemy	false	-1	kill		true		0.0		
wh_main_occupation_decision_bretonnia_raze_neutrals	occupation_decision_raze_without_occupy		0		0		0	408	Raze||All buildings are destroyed and the settlement is torched.\n\nPurging the land of evil is a great thing, both for Bretonnia and indeed the wider world.	wh_main_brt_bretonnia_raze	100.0	0.2		false	-1	kill		true		0.0		
wh2_dlc09_sc_tmb_tomb_kings_occupation_decision_raze_without_occupy	occupation_decision_raze_without_occupy		0		0		0	559770731	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_dlc09_tmb_tomb_kings_raze	100.0	0.2		false	-1	kill		true		0.0		
wh2_main_sc_def_dark_elves_occupation_decision_raze_without_occupy	occupation_decision_raze_without_occupy		0		0		0	1032	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_main_def_dark_elves_raze	100.0	0.2		false	-1	kill		true		0.0		
wh2_main_sc_hef_high_elves_occupation_decision_raze_without_occupy	occupation_decision_raze_without_occupy		0		0		0	1070	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_main_hef_high_elves_raze	100.0	0.2		false	-1	kill		true		0.0		
wh2_main_sc_lzd_lizardmen_occupation_decision_raze_without_occupy	occupation_decision_raze_without_occupy		0		0		0	1110	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	wh2_main_lzd_lizardmen_raze	100.0	0.2		false	-1	kill		true		0.0		
